,PC1,PC2,CLUSTERS
45948,-20.7132145221015,-0.2573864760211462,E
78682,22.352117339272873,-0.07852712078888995,D
29711,-19.795900085889194,3.6683308415911946,A
36353,-3.722116276863009,0.8137990841124668,B
49036,-17.70843676985346,0.36710491968248465,E
61816,35.397952017852035,-0.5241729567045592,C
63279,-5.618669034065074,-1.8450543966145627,B
39208,-19.72784775928819,0.44238496091329876,E
67648,4.364684290862305,-0.7484589217080719,B
64857,23.364110269855612,0.019667245955955964,D
88284,-10.630070431935039,-1.733978886127382,B
63288,32.485203914105625,-0.750183442980341,D
12560,-20.770343833353706,2.2162109476934795,A
59607,-12.636337802380414,-1.8562445440759692,E
52852,-8.614473702643174,-2.2177621957560074,B
29080,-20.711343816696253,-0.8841150100333339,E
19099,-20.71221151957283,-0.4887087934182085,E
29203,-20.764251463839056,1.8752614011325277,A
57614,9.375974787549291,-1.259525811791656,D
29846,-12.68340095463533,-0.515340992378503,E
4017,-20.736456378434948,0.6380552362978632,E
11226,-18.722140369381517,0.3657607710613773,E
41034,-12.690941828152168,-0.7000037859997515,E
24689,-20.69319219413993,-1.0972947102087987,E
81881,0.40181062202491685,-1.4922181293603598,B
13626,-20.79171632717267,3.3500683078369398,A
36834,-20.732735832229103,0.09753048005798867,E
73063,155.37537814739278,3.0107244428857642,C
46780,-19.72059917465563,0.09174319641203796,E
97048,8.367782984218934,-0.5240415823656129,D
13334,-7.667984350081737,-1.5588672144038875,B
45807,-17.67675354737172,-0.21135354132219022,E
78859,46.36913761505635,-0.20699445973535238,C
81924,-12.618081820053154,-1.631998459238671,E
23142,6.280473696418033,0.6363078902325866,B
25625,-19.75847132900785,2.36983400847024,A
37610,-20.704585663091112,-0.7870587685749024,E
62699,-7.63428600510139,-0.868144699059374,B
48727,-19.784974275643584,2.8281770550443506,A
69696,18.36619767041059,-0.32884937354281973,D
34752,-19.761623323579034,2.321618816584981,A
21250,-0.6923987317038715,-0.12696507271552776,B
51212,18.374331455967873,-0.18787571230514494,D
40199,-16.67928796339957,-1.2018622171647995,E
35952,-20.703648465300553,-0.9149672844552447,E
67410,-3.6392362203167408,-1.0786204467721887,B
22919,-20.76588877230381,2.486988683832926,A
13422,-20.74103367129577,1.6082128772360145,A
82807,-8.621674228954841,-0.9258788791696818,B
34396,-19.77380778083293,2.615773746697046,A
